                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.35148,                0.24944,                0.81793,                0.99611,                0.98614,                0.99148,                 0.8764,                0.52243,                0.28421,                0.78348,             0.00034895,             0.00034895,             0.00034895
                     37,                0.33361,                0.23779,                0.81119,                0.97657,                0.98415,                0.98473,                0.86493,                0.54943,                0.27592,                0.78649,             0.00034374,             0.00034374,             0.00034374
                     38,                0.36361,                0.25271,                0.81222,                0.99637,                0.98662,                0.98875,                0.84362,                0.60594,                0.29475,                0.78338,             0.00033853,             0.00033853,             0.00033853
                     39,                0.33612,                 0.2397,                 0.8119,                0.99646,                0.97711,                0.98809,                0.87295,                0.53565,                0.26289,                0.77708,             0.00033333,             0.00033333,             0.00033333
                     40,                0.33376,                0.24248,                0.81073,                0.97802,                0.98614,                0.98105,                0.85733,                0.55186,                0.28396,                0.78198,             0.00032812,             0.00032812,             0.00032812
                     41,                  0.342,                0.24473,                0.80914,                0.99702,                 0.9742,                0.98717,                0.85227,                0.59297,                0.29603,                0.78846,             0.00032291,             0.00032291,             0.00032291
                     42,                0.32829,                0.23807,                0.80535,                0.97727,                0.98614,                0.98905,                0.86092,                0.57342,                0.27441,                0.77782,              0.0003177,              0.0003177,              0.0003177
                     43,                0.33437,                 0.2359,                0.80801,                0.98035,                0.98614,                0.98697,                0.87917,                 0.4984,                0.26071,                0.77804,              0.0003125,              0.0003125,              0.0003125
                     44,                0.32243,                0.22983,                0.80651,                0.99707,                0.98614,                0.98703,                0.87186,                0.54008,                0.27155,                0.77748,             0.00030729,             0.00030729,             0.00030729
                     45,                0.34293,                 0.2357,                0.80482,                0.99076,                0.98614,                0.98636,                0.88166,                0.47287,                0.24841,                 0.7775,             0.00030208,             0.00030208,             0.00030208
                     46,                0.33905,                0.23172,                0.80491,                0.99006,                 0.9864,                0.99281,                0.88563,                0.50523,                0.25025,                0.77392,             0.00029687,             0.00029687,             0.00029687
                     47,                0.31615,                0.22041,                0.80412,                 0.9867,                0.98521,                0.98831,                0.86887,                0.54739,                0.26192,                0.77791,             0.00029167,             0.00029167,             0.00029167
                     48,                0.32864,                0.22566,                0.80967,                0.99243,                0.98614,                0.99193,                0.88666,                0.50415,                0.24961,                0.77438,             0.00028646,             0.00028646,             0.00028646
                     49,                0.31329,                0.21881,                0.80272,                0.99698,                0.98614,                0.99198,                0.87267,                 0.5455,                0.26243,                0.77739,             0.00028125,             0.00028125,             0.00028125
                     50,                0.29743,                0.21043,                0.80423,                0.99788,                0.98614,                0.98464,                0.87906,                 0.5355,                0.26375,                0.77622,             0.00027604,             0.00027604,             0.00027604
                     51,                0.31901,                0.22414,                0.80266,                0.99658,                 0.9742,                0.98694,                  0.877,                0.51882,                0.25659,                0.77653,             0.00027084,             0.00027084,             0.00027084
                     52,                0.31828,                0.22506,                0.80324,                0.99787,                 0.9742,                0.98655,                0.86868,                0.53378,                0.27115,                0.77591,             0.00026563,             0.00026563,             0.00026563
                     53,                0.30505,                0.21634,                0.79853,                0.99292,                0.98072,                 0.9899,                 0.8886,                0.51656,                0.25067,                0.77642,             0.00026042,             0.00026042,             0.00026042
                     54,                 0.2993,                0.20857,                0.80178,                0.99566,                0.98345,                 0.9901,                0.87583,                0.55573,                0.26724,                0.77884,             0.00025522,             0.00025522,             0.00025522
                     55,                0.30649,                0.21416,                0.80518,                0.99739,                0.98614,                0.99367,                0.88041,                0.53457,                0.25974,                0.77965,             0.00025001,             0.00025001,             0.00025001
                     56,                0.30618,                0.21925,                0.80415,                0.99058,                0.98614,                0.99245,                0.86547,                0.55139,                0.26466,                0.77847,              0.0002448,              0.0002448,              0.0002448
                     57,                0.30089,                0.21626,                0.80391,                0.99014,                0.98614,                0.98546,                0.87688,                0.53491,                0.26144,                0.77436,             0.00023959,             0.00023959,             0.00023959
                     58,                0.30119,                0.21566,                0.79811,                0.99393,                 0.9742,                0.98918,                0.87412,                0.54621,                0.26504,                0.77367,             0.00023439,             0.00023439,             0.00023439
                     59,                0.28916,                0.20791,                0.80218,                 0.9824,                0.98614,                0.98925,                0.88228,                0.53128,                0.25338,                0.77328,             0.00022918,             0.00022918,             0.00022918
                     60,                0.30825,                0.21565,                0.80118,                0.97981,                0.98415,                0.98449,                  0.889,                0.49735,                0.24779,                0.77153,             0.00022397,             0.00022397,             0.00022397
                     61,                0.28959,                0.20032,                0.80044,                0.99732,                0.98614,                0.99216,                0.88698,                0.55557,                0.26468,                0.77585,             0.00021876,             0.00021876,             0.00021876
                     62,                0.29249,                 0.1997,                0.80085,                0.99653,                0.98614,                0.98934,                0.87496,                0.54111,                0.24823,                0.77163,             0.00021356,             0.00021356,             0.00021356
                     63,                0.29642,                0.20256,                0.80023,                0.98213,                0.98614,                0.99078,                 0.8779,                0.52264,                0.24506,                0.76982,             0.00020835,             0.00020835,             0.00020835
                     64,                0.29484,                0.20011,                0.79977,                0.99549,                0.98614,                0.99159,                 0.8856,                0.51296,                0.23987,                0.77125,             0.00020314,             0.00020314,             0.00020314
                     65,                0.26995,                0.18769,                0.79505,                0.99086,                0.98614,                  0.992,                0.87751,                0.53623,                0.24507,                0.77094,             0.00019793,             0.00019793,             0.00019793
                     66,                0.28655,                0.19462,                0.79921,                0.99485,                0.98614,                0.98979,                0.86967,                0.55524,                0.25048,                0.77359,             0.00019273,             0.00019273,             0.00019273
                     67,                0.27437,                0.18879,                0.79907,                0.99722,                0.98614,                0.99204,                0.89103,                0.51672,                0.24089,                0.77261,             0.00018752,             0.00018752,             0.00018752
                     68,                0.27819,                0.19082,                0.79862,                0.99669,                0.98614,                0.99255,                0.89531,                 0.5109,                0.23259,                0.77146,             0.00018231,             0.00018231,             0.00018231
                     69,                0.27588,                0.19005,                0.79782,                0.98671,                0.98117,                0.98906,                0.88631,                0.51613,                0.23995,                0.77064,              0.0001771,              0.0001771,              0.0001771
                     70,                0.27881,                0.19159,                0.79784,                0.99742,                0.98614,                0.98987,                0.88323,                0.50993,                0.24272,                0.77229,              0.0001719,              0.0001719,              0.0001719
                     71,                0.28191,                0.19418,                0.79557,                0.99725,                0.98614,                0.98975,                0.88172,                0.51934,                 0.2395,                0.77229,             0.00016669,             0.00016669,             0.00016669
                     72,                0.27253,                0.18793,                0.79353,                0.99842,                0.98598,                0.98813,                0.88775,                 0.5177,                0.23496,                0.77033,             0.00016148,             0.00016148,             0.00016148
                     73,                0.27298,                0.18738,                 0.7964,                 0.9969,                0.98614,                0.99256,                0.88751,                0.53673,                0.23919,                0.77249,             0.00015627,             0.00015627,             0.00015627
                     74,                0.27093,                0.18591,                0.79734,                0.99728,                0.97683,                0.99051,                0.89881,                0.50243,                0.23572,                0.76991,             0.00015107,             0.00015107,             0.00015107
                     75,                0.26853,                0.18455,                 0.7966,                0.99339,                0.99808,                0.99425,                0.89747,                0.52673,                0.24342,                0.77038,             0.00014586,             0.00014586,             0.00014586
                     76,                0.27358,                0.18776,                0.79389,                0.99753,                0.98512,                 0.9922,                0.88787,                0.51626,                0.23475,                0.76977,             0.00014065,             0.00014065,             0.00014065
                     77,                0.25682,                0.17742,                0.79666,                0.99682,                0.98614,                 0.9904,                0.88872,                0.50492,                0.23194,                 0.7687,             0.00013544,             0.00013544,             0.00013544
                     78,                0.26354,                0.18073,                0.79597,                0.99201,                0.98219,                0.99108,                0.88726,                0.53005,                0.23717,                0.77065,             0.00013024,             0.00013024,             0.00013024
                     79,                0.26928,                0.18676,                0.79507,                0.98472,                0.98272,                0.99131,                0.89539,                 0.5123,                0.24119,                0.77006,             0.00012503,             0.00012503,             0.00012503
                     80,                0.25854,                0.18019,                0.79819,                0.97965,                0.98347,                0.99025,                0.88559,                0.52288,                0.23405,                0.77033,             0.00011982,             0.00011982,             0.00011982
                     81,                0.26219,                0.17843,                0.79651,                0.99018,                0.98614,                0.99145,                0.89688,                0.50703,                0.23068,                0.76844,             0.00011462,             0.00011462,             0.00011462
                     82,                0.25625,                0.17482,                 0.7953,                0.99516,                0.98614,                0.99119,                 0.8945,                0.49872,                0.23395,                0.76843,             0.00010941,             0.00010941,             0.00010941
                     83,                0.25449,                0.17547,                0.79563,                0.99715,                0.98554,                0.98964,                0.89596,                0.50154,                0.23932,                0.76843,              0.0001042,              0.0001042,              0.0001042
                     84,                0.25519,                0.17587,                0.79449,                0.99602,                0.98614,                0.99135,                0.89686,                0.51172,                0.23902,                0.76827,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     85,                0.24989,                0.17331,                0.79074,                0.99807,                0.98606,                0.99234,                0.89035,                0.50448,                0.22963,                0.76785,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     86,                0.25587,                 0.1735,                0.79355,                  0.997,                0.98614,                0.99186,                0.89176,                0.51338,                0.23229,                0.76809,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     87,                0.24908,                0.16928,                0.79317,                0.99508,                0.98117,                0.99206,                0.89603,                0.51325,                0.22953,                0.76841,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     88,                0.24629,                0.16775,                0.79372,                0.99091,                0.98614,                0.99185,                0.89569,                 0.5077,                0.22879,                0.76743,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     89,                0.24068,                0.16517,                0.79405,                0.99318,                0.98614,                0.99099,                0.89514,                 0.5161,                0.23046,                0.76786,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     90,                0.24916,                0.16872,                0.79355,                0.99826,                0.97389,                0.98961,                0.89418,                 0.4991,                0.22756,                0.76672,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     91,                0.40075,                0.22717,                0.77504,                0.99656,                0.98614,                0.98554,                0.92879,                0.33164,                0.19276,                0.76085,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     92,                0.30849,                0.19243,                0.77863,                0.99533,                0.98515,                0.98555,                0.94689,                0.26815,                0.17188,                0.75922,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     93,                0.25674,                0.16987,                0.77478,                0.99213,                0.97918,                0.98482,                0.94444,                0.26957,                0.17024,                0.75931,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     94,                0.24699,                0.16397,                0.77168,                0.99729,                0.98614,                0.98596,                0.95449,                0.24422,                0.15456,                0.75789,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     95,                0.24353,                0.15971,                0.77078,                0.99735,                0.98614,                0.98575,                0.95607,                0.25295,                  0.156,                0.75741,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     96,                0.23924,                0.15441,                0.77285,                0.99703,                0.98614,                0.98656,                0.95542,                0.25149,                0.15844,                0.75795,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     97,                0.23004,                0.15292,                0.77397,                0.99524,                0.98614,                0.98542,                0.95277,                0.23933,                0.15249,                0.75771,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     98,                0.23014,                0.15107,                0.76795,                0.98462,                0.98558,                0.98498,                0.95547,                0.24455,                0.15551,                0.75762,              2.609e-05,              2.609e-05,              2.609e-05
                     99,                0.22474,                0.14814,                0.77281,                0.99097,                0.98614,                0.98571,                0.95542,                0.24473,                0.15489,                0.75789,             2.0882e-05,             2.0882e-05,             2.0882e-05
                    100,                0.22714,                0.14898,                0.77126,                0.99784,                0.98614,                0.98657,                0.95733,                0.23965,                0.15034,                0.75766,             1.5675e-05,             1.5675e-05,             1.5675e-05
